,source,Dissimilarity,IsMetric,NegCounter,ZeroCounter,PcoaNegFrac,pseudo_F,pseudo_R2,p_value,MiRKAT_Rsquared
1,cardiovascular,manhattan,YES,0,0,12.06%,1.310233244,0.057356772,0.032032032,0.003010559
2,cardiovascular,euclidean,YES,0,0,0%,1.978073622,0.084132507,0.003003003,0.003660579
3,cardiovascular,canberra,YES,0,0,0%,1.445410955,0.062902086,0,0.003027329
4,cardiovascular,clark,YES,0,0,0%,1.298328678,0.056865272,0,0.003029542
5,cardiovascular,bray,YES,0,0,7.31%,1.617353424,0.069862006,0,0.002996786
6,cardiovascular,kulczynski,NO,1.55E-07,0,14.82%,1.369593423,0.05979993,0,0.002495777
7,cardiovascular,jaccard,YES,0,0,0.00%,1.515683016,0.065759119,0,0.003301591
8,cardiovascular,gower,YES,0,0,3.42%,1.198472854,0.052722289,0.089089089,0.002134908
9,cardiovascular,altGower,NO,0.004204212,0,18.29%,1.354811044,0.059192699,0.038038038,0.003932786
10,cardiovascular,morisita,NO,0.003805083,0,19.14%,1.337729145,0.058490031,0.028028028,0.001826669
11,cardiovascular,horn,NO,0.003800318,0,19.14%,1.337742045,0.058490562,0.033033033,0.001826642
12,cardiovascular,binomial,YES,0,0,0.67%,1.769266155,0.075925699,0,0.002605412
13,cardiovascular,chao,NO,0.277937141,0.000851191,47.81%,0.652157277,0.029395666,0.584584585,0.000521638
14,cardiovascular,cao,YES,0,0,0.77%,2.015989367,0.085607106,0,0.004085289
15,cardiovascular,chisq,YES,0,0,0%,1.176198862,0.051793179,0.043043043,0.002611619
16,cardiovascular,chord,YES,0,0,0%,1.584125487,0.06852507,0,0.003086438
17,cardiovascular,hellinger,YES,0,0,0%,1.812489579,0.077636568,0,0.003695898
18,cardiovascular,aitchison,YES,0,0,0%,1.812489579,0.077636568,0,0.003695898
19,cardiovascular,robust.aitchison,YES,0,0,0%,1.61899118,0.069927803,0,0.00323557
20,cardiovascular,unifrac_unweighted,YES,0,0,0%,1.683629802,0.072517228,0,0.00306515
21,cardiovascular,unifrac_weighted_phyloseq,YES,0,0,13.38%,1.446890688,0.062962427,0,0.002261532
22,cardiovascular,unifrac_weighted_gunifrac,YES,0,0,13.52%,1.754896716,0.075355521,0.001001001,0.003533227
23,Concordance_oral_16S,manhattan,YES,0,0,12.78%,0.838538322,0.042003492,0.814814815,0.002979371
24,Concordance_oral_16S,euclidean,YES,0,0,0%,0.718003802,0.036184229,0.870870871,0.002760904
25,Concordance_oral_16S,canberra,YES,0,0,0%,1.102919113,0.054524596,0.009009009,0.006607398
26,Concordance_oral_16S,clark,YES,0,0,0%,1.073275281,0.053136977,0.014014014,0.006502958
27,Concordance_oral_16S,bray,NO,4.79E-07,0,7.16%,0.938483383,0.046775695,0.613613614,0.004704763
28,Concordance_oral_16S,kulczynski,NO,1.77E-05,0,15.17%,0.863189579,0.043184981,0.812812813,0.002871971
29,Concordance_oral_16S,jaccard,YES,0,0,0.27%,1.005607595,0.04995416,0.443443443,0.005945308
30,Concordance_oral_16S,gower,YES,0,0,6.25%,0.874763082,0.043738672,0.803803804,0.002889714
31,Concordance_oral_16S,altGower,NO,0.017775669,0,21.43%,0.798172236,0.040062507,0.768768769,0.000798225
32,Concordance_oral_16S,morisita,NO,0.053914577,1.05E-05,18.56%,0.738422887,0.037175007,0.818818819,0.003113719
33,Concordance_oral_16S,horn,NO,0.052330151,0,18.14%,0.742338357,0.037364761,0.828828829,0.003144475
34,Concordance_oral_16S,mountford,YES,0,0,0%,1.007670826,0.050051522,0.025025025,0.006234036
35,Concordance_oral_16S,raup,NO,0.055938962,0.818187351,43.93%,0.479452764,0.02445632,0.587587588,-2.98E-05
36,Concordance_oral_16S,binomial,YES,0,0,1.42%,1.067684536,0.052874819,0.246246246,0.006075814
37,Concordance_oral_16S,chao,NO,0.029221781,0,28.05%,0.829956776,0.04159151,0.693693694,0.003653966
38,Concordance_oral_16S,cao,YES,0,0,0.83%,1.144915625,0.056483492,0.115115115,0.005555932
39,Concordance_oral_16S,mahalanobis,YES,0,0,0%,1.002770944,0.049820268,0.497497497,0.006096375
40,Concordance_oral_16S,chisq,YES,0,0,0%,0.60892725,0.030856871,0.880880881,0.004794434
41,Concordance_oral_16S,chord,YES,0,0,0%,0.862414248,0.043147865,0.754754755,0.00572221
42,Concordance_oral_16S,hellinger,YES,0,0,0%,1.074612361,0.053199653,0.254254254,0.006944452
43,Concordance_oral_16S,aitchison,YES,0,0,0%,1.074612361,0.053199653,0.247247247,0.006944452
44,Concordance_oral_16S,robust.aitchison,YES,0,0,0%,1.070443075,0.053004189,0.14014014,0.006221301
45,Concordance_oral_16S,unifrac_unweighted,YES,0,0,1.70%,1.227863192,0.060328769,0.101101101,0.006591479
46,Concordance_oral_16S,unifrac_weighted_phyloseq,NO,1.73E-05,0,13.15%,0.869753892,0.043499105,0.685685686,0.002825313
47,Concordance_oral_16S,unifrac_weighted_gunifrac,NO,1.73E-05,0,13.15%,0.869753892,0.043499105,0.655655656,0.002825313
48,covid,manhattan,YES,0,0,2.14%,1.474677567,0.165633643,0.001001001,0.013327104
49,covid,euclidean,YES,0,0,0%,1.214053054,0.14047273,0.042042042,0.017395411
50,covid,canberra,YES,0,0,0%,1.158322087,0.134894195,0,0.016193104
51,covid,clark,YES,0,0,0%,1.107407423,0.129734087,0,0.01638799
52,covid,bray,YES,0,0,0.26%,1.45360322,0.163653979,0,0.014516338
53,covid,kulczynski,YES,0,0,0.54%,1.428152896,0.161250689,0,0.013715345
54,covid,jaccard,YES,0,0,0%,1.292661407,0.148220032,0,0.015293281
55,covid,gower,YES,0,0,4.32%,1.095220343,0.128489805,0.08008008,0.015830723
56,covid,altGower,NO,0.01146503,0,20.84%,0.88974071,0.106961688,0.666666667,0.012178673
57,covid,morisita,NO,0.000389636,0,8.23%,1.202588448,0.139331036,0.078078078,0.011091291
58,covid,horn,NO,0.000360413,0,8.20%,1.202817345,0.13935386,0.088088088,0.011103417
59,covid,mountford,YES,0,0,0%,1.004917221,0.11915795,0,0.016916853
60,covid,raup,NO,0.118361582,0.6447594,49.15%,0.414953541,0.052903961,0.137137137,-0.008863875
61,covid,binomial,YES,0,0,0.81%,1.481654271,0.166286952,0,0.015863922
62,covid,chao,NO,0.001763102,0,17.15%,1.430910354,0.161511744,0.008008008,0.010135416
63,covid,cao,YES,0,0,0%,1.46082996,0.164333896,0,0.01444029
64,covid,mahalanobis,YES,0,0,0%,1,0.118644068,0.015015015,0.016949153
65,covid,chisq,YES,0,0,0%,1.252472895,0.144276754,0,0.018262629
66,covid,chord,YES,0,0,0%,1.204877381,0.13955922,0.023023023,0.015052088
67,covid,hellinger,YES,0,0,0%,1.419400625,0.160421011,0,0.013536488
68,covid,aitchison,YES,0,0,0%,1.575577581,0.174983508,0,0.013483618
69,covid,robust.aitchison,YES,0,0,0%,1.313875684,0.150286947,0,0.015055536
70,covid,unifrac_unweighted,YES,0,0,0%,1.300577067,0.148992432,0,0.015070485
71,covid,unifrac_weighted_phyloseq,NO,9.74E-05,0,7.14%,1.854044686,0.199732992,0.001001001,0.008815585
72,covid,unifrac_weighted_gunifrac,YES,0,0,4.38%,1.219797617,0.141043659,0.13013013,0.013767321
73,HIV_gut,manhattan,YES,0,0,4.41%,1.017229734,0.076466512,0.43043043,0.014639953
74,HIV_gut,euclidean,YES,0,0,0%,0.936583533,0.070833644,0.554554555,0.013381382
75,HIV_gut,canberra,YES,0,0,0%,1.111102905,0.082937827,0,0.012867408
76,HIV_gut,clark,YES,0,0,0%,1.073633581,0.080365718,0,0.012153716
77,HIV_gut,bray,YES,0,0,1.41%,1.250603208,0.092388732,0.026026026,0.014632799
78,HIV_gut,kulczynski,YES,0,0,2.23%,1.251085334,0.092421057,0.021021021,0.015125802
79,HIV_gut,jaccard,YES,0,0,0%,1.170505536,0.086986208,0.012012012,0.01397481
80,HIV_gut,gower,YES,0,0,8.16%,1.060612398,0.079468488,0.359359359,0.012492684
81,HIV_gut,altGower,NO,0.012995733,0,17.59%,0.742617114,0.057000171,0.834834835,0.003940969
82,HIV_gut,morisita,NO,0.002078919,0,12.99%,1.149898397,0.085585855,0.191191191,0.01175517
83,HIV_gut,horn,NO,0.002054052,0,12.97%,1.150153398,0.08560321,0.217217217,0.011760846
84,HIV_gut,mountford,YES,0,0,0%,1.003707106,0.075526772,0.001001001,0.010807726
85,HIV_gut,binomial,YES,0,0,2.55%,1.18799191,0.088171131,0.119119119,0.015986854
86,HIV_gut,chao,NO,0.000686342,0,20.43%,1.024490625,0.076970312,0.417417417,0.010972715
87,HIV_gut,cao,YES,0,0,1.31%,1.172248551,0.087104457,0.019019019,0.015479708
88,HIV_gut,mahalanobis,YES,0,0,0%,1,0.075268817,0.864864865,0.010752688
89,HIV_gut,chisq,YES,0,0,0%,1.1224837,0.083716224,0.196196196,0.015305962
90,HIV_gut,chord,YES,0,0,0%,1.268631979,0.093595955,0.034034034,0.015547142
91,HIV_gut,hellinger,YES,0,0,0%,1.228592809,0.090910529,0.012012012,0.014173205
92,HIV_gut,aitchison,YES,0,0,0%,1.228592809,0.090910529,0.021021021,0.014173205
93,HIV_gut,robust.aitchison,YES,0,0,0%,1.090492033,0.081524762,0.096096096,0.012846119
94,HIV_gut,unifrac_unweighted,YES,0,0,0%,1.161215012,0.086355404,0.003003003,0.014005753
95,HIV_gut,unifrac_weighted_phyloseq,YES,0,0,8.19%,0.938813631,0.070990332,0.492492492,0.007862973
96,HIV_gut,unifrac_weighted_gunifrac,YES,0,0,8.52%,1.028729846,0.077264198,0.428428428,0.009574058
97,IBD_16s,manhattan,YES,0,9.95E-07,8.61%,1.28003196,0.096387717,0.026026026,0.012278351
98,IBD_16s,euclidean,YES,0,0,0%,1.386563549,0.103578752,0.069069069,0.022455198
99,IBD_16s,canberra,YES,0,0,0%,1.134869858,0.086401302,0,0.006627662
100,IBD_16s,clark,YES,0,0,0%,1.093417995,0.083508981,0,0.006304161
101,IBD_16s,bray,YES,0,0,4.27%,1.388673369,0.103720012,0,0.013136754
102,IBD_16s,kulczynski,NO,2.99E-06,0,7.85%,1.346084595,0.100859888,0,0.011600972
103,IBD_16s,jaccard,YES,0,0,0%,1.321512672,0.099201397,0,0.011084522
104,IBD_16s,gower,NO,3.32E-07,3.32E-07,10.53%,0.768979235,0.060222452,0.910910911,0.003363982
105,IBD_16s,altGower,NO,0.044929771,0,38.79%,0.769141347,0.060234383,0.668668669,-0.012757356
106,IBD_16s,morisita,NO,0.0024942,0,13.81%,1.244267445,0.093947623,0.018018018,0.015698688
107,IBD_16s,horn,NO,0.00244145,0,13.55%,1.247152156,0.094144926,0.012012012,0.015832609
108,IBD_16s,mountford,NO,0.000237543,3.32E-06,0.42%,1.029283451,0.078997702,0.001001001,0.005505329
109,IBD_16s,raup,NO,0.246434784,0.255577861,48.09%,1.017406347,0.078157378,0.508508509,-0.001764061
110,IBD_16s,binomial,YES,0,0,3.67%,0.973478062,0.075036013,0.507507508,0.005450632
111,IBD_16s,chao,NO,0.003272518,0,25.10%,1.097520984,0.083796085,0.177177177,0.009957853
112,IBD_16s,cao,NO,6.64E-07,0,2.40%,1.326886277,0.099564613,0,0.008886145
113,IBD_16s,mahalanobis,YES,0,0,0%,0.991244329,0.076300953,1,0.005494505
114,IBD_16s,chisq,YES,0,0,0%,0.580180105,0.046118585,0.630630631,0.006343171
115,IBD_16s,chord,YES,0,0,0%,1.376538926,0.102906958,0,0.016820179
116,IBD_16s,hellinger,YES,0,0,0%,1.456188513,0.108217012,0,0.013419137
117,IBD_16s,aitchison,YES,0,0,0%,1.456188513,0.108217012,0,0.013419137
118,IBD_16s,robust.aitchison,YES,0,0,0%,1.133350262,0.086295594,0.02002002,0.006762618
119,IBD_16s,unifrac_unweighted,YES,0,0,0%,1.197002922,0.090702634,0,0.008989169
120,IBD_16s,unifrac_weighted_phyloseq,NO,0.002093761,0,11.81%,0.98642559,0.075958206,0.50950951,0.010344523
121,IBD_16s,unifrac_weighted_gunifrac,NO,3.65E-06,0,11.80%,1.450703048,0.107853325,0.002002002,0.019079449
122,IBD_wgs,manhattan,YES,0,0,13.07%,0.989708164,0.081638602,0.458458458,0.006206347
123,IBD_wgs,euclidean,YES,0,0,1.95E-17,1.237978274,0.100068474,0.172172172,0.011767292
124,IBD_wgs,canberra,YES,0,0,0%,1.162807671,0.094566878,0.004004004,0.008447699
125,IBD_wgs,clark,YES,0,0,0%,1.120626962,0.091450187,0,0.00771383
126,IBD_wgs,bray,YES,0,0,3.96%,1.311937299,0.105416534,0,0.012911547
127,IBD_wgs,kulczynski,NO,3.32E-06,0,11.40%,1.23950204,0.100179304,0.006006006,0.011727197
128,IBD_wgs,jaccard,YES,0,0,0%,1.269410304,0.102349153,0,0.010666255
129,IBD_wgs,gower,YES,0,0,6.80%,1.10698203,0.090437378,0.218218218,0.007478978
130,IBD_wgs,altGower,NO,0.002614298,0,13.47%,0.967266896,0.079935448,0.510510511,0.007215461
131,IBD_wgs,morisita,NO,0.000783294,0,14.77%,1.169136575,0.095032671,0.029029029,0.011275062
132,IBD_wgs,horn,NO,0.000779645,0,14.70%,1.1692086,0.095037969,0.045045045,0.011283495
133,IBD_wgs,mountford,YES,0,0,0%,1.000592139,0.082462361,0.309309309,0.005526073
134,IBD_wgs,raup,NO,0.013559517,0.959317801,49.68%,0.560763525,0.047952701,0.203203203,0.003638778
135,IBD_wgs,binomial,YES,0,0,0.86%,1.291025409,0.103910828,0.004004004,0.011651486
136,IBD_wgs,chao,NO,0.197047103,0,41.71%,0.757318832,0.063690269,0.715715716,0.009596357
137,IBD_wgs,cao,YES,0,0,0.20%,1.270886631,0.10245599,0.04004004,0.014222872
138,IBD_wgs,chisq,YES,0,0,0%,1.490010588,0.118036124,0.137137137,0.004710324
139,IBD_wgs,chord,YES,0,0,0%,1.334298264,0.107020989,0,0.012320131
140,IBD_wgs,hellinger,YES,0,0,0%,1.449802463,0.115217899,0,0.016735313
141,IBD_wgs,aitchison,YES,0,0,0%,1.449802463,0.115217899,0,0.016735313
142,IBD_wgs,robust.aitchison,YES,0,0,0%,1.230215671,0.099503441,0.001001001,0.0101928
143,IBD_wgs,unifrac_unweighted,YES,0,0,0%,1.175810411,0.095523331,0.117117117,0.011317958
144,IBD_wgs,unifrac_weighted_phyloseq,YES,0,0,9.54%,1.021172131,0.084015934,0.354354354,0.007284936
145,IBD_wgs,unifrac_weighted_gunifrac,YES,0,0,10.91%,1.304975096,0.104915801,0.042042042,0.023808783
146,Pig_gut,manhattan,YES,0,0,3.38%,4.058706288,0.085340973,0,0.065099411
147,Pig_gut,euclidean,YES,0,0,0%,3.497757696,0.074423927,0,0.053061984
148,Pig_gut,canberra,YES,0,0,0%,2.455929024,0.053440961,0,0.037229429
149,Pig_gut,clark,YES,0,0,0%,1.954909169,0.043007658,0,0.028452238
150,Pig_gut,bray,YES,0,0,0.02%,5.46593179,0.111627239,0,0.091226717
151,Pig_gut,kulczynski,YES,0,0,0.52%,5.767067619,0.117057253,0,0.097171175
152,Pig_gut,jaccard,YES,0,0,0%,3.549062594,0.075433226,0,0.058920424
153,Pig_gut,gower,YES,0,0,2.68%,2.768560005,0.059836745,0,0.041587573
154,Pig_gut,altGower,NO,0.000854046,0,9.30%,1.948480302,0.042872287,0,0.001184488
155,Pig_gut,morisita,NO,0.000198615,0,9.48%,7.396911436,0.145331244,0,0.124977141
156,Pig_gut,horn,NO,0.000190103,0,9.41%,7.389880496,0.145213163,0,0.124842647
157,Pig_gut,mountford,YES,0,0,0%,1.012009673,0.022735655,0,0.011447822
158,Pig_gut,binomial,YES,0,0,0%,4.658259048,0.096728145,0,0.074573408
159,Pig_gut,chao,NO,1.99E-05,0,11.54%,4.890731996,0.101067535,0,0.080743108
160,Pig_gut,cao,YES,0,0,0%,4.191750708,0.087892574,0,0.06693722
161,Pig_gut,mahalanobis,YES,0,0,0%,1,0.02247191,0.812812813,0.011235955
162,Pig_gut,chisq,YES,0,0,0%,2.346268325,0.051176866,0,0.035769978
163,Pig_gut,chord,YES,0,0,0%,5.653404294,0.115015519,0,0.094975906
164,Pig_gut,hellinger,YES,0,0,0%,5.101076172,0.104958091,0,0.085997759
165,Pig_gut,aitchison,YES,0,0,0%,5.101076172,0.104958091,0,0.085997759
166,Pig_gut,robust.aitchison,YES,0,0,0%,3.328763841,0.071083744,0,0.055841528
167,Pig_gut,unifrac_unweighted,YES,0,0,0%,3.373263182,0.071965614,0,0.053262599
168,Pig_gut,unifrac_weighted_phyloseq,YES,0,0,5.27%,10.92423529,0.200723726,0,0.189482079
169,Pig_gut,unifrac_weighted_gunifrac,YES,0,0,4.34%,8.936851503,0.170430742,0,0.146911964